faults,arm,rep,block_interval_s,blocks,transactions
0,clique,1,1.948,77,715
0,clique,2,2.000,75,710
0,clique,3,2.013,75,712
0,clique,4,1.986,76,713
0,clique,5,2.013,75,718
1,clique,1,1.973,76,715
1,clique,2,1.973,76,711
1,clique,3,2.013,75,711
1,clique,4,2.013,75,717
1,clique,5,2.027,74,709
2,clique,1,2.013,75,712
2,clique,2,2.013,75,711
2,clique,3,2.013,75,705
2,clique,4,1.986,76,715
2,clique,5,1.986,76,718
3,clique,1,2.013,75,705
3,clique,2,1.986,76,715
3,clique,3,1.986,76,716
3,clique,4,2.040,74,702
3,clique,5,2.013,75,717
