faults,arm,rep,block_interval_s,blocks,transactions
0,ibft2,1,2.082,73,704
0,ibft2,2,2.142,70,701
0,ibft2,3,2.083,72,712
0,ibft2,4,2.097,72,706
0,ibft2,5,2.068,73,711
1,ibft2,1,2.238,67,710
1,ibft2,2,2.054,73,710
1,ibft2,3,2.157,70,713
1,ibft2,4,2.142,70,707
1,ibft2,5,2.272,66,711
2,ibft2,1,2.884,52,709
2,ibft2,2,2.542,59,678
2,ibft2,3,2.586,58,702
2,ibft2,4,2.696,56,715
2,ibft2,5,2.559,59,681
3,ibft2,1,3.081,49,714
3,ibft2,2,3.431,44,713
3,ibft2,3,3.355,45,649
3,ibft2,4,3.282,46,708
3,ibft2,5,3.282,46,644
