faults,arm,rep,block_interval_s,blocks,transactions
0,qbft,1,1.986,76,710
0,cbbft,1,1.986,76,710
0,qbft,2,2.013,75,707
0,cbbft,2,2.013,75,698
0,qbft,3,1.986,76,711
0,cbbft,3,2.013,75,704
0,qbft,4,1.986,76,708
0,cbbft,4,2.013,75,699
0,qbft,5,2.013,75,701
0,cbbft,5,2.000,75,698
1,qbft,1,2.238,67,710
1,cbbft,1,2.068,73,699
1,qbft,2,2.238,67,709
1,cbbft,2,2.068,73,706
1,qbft,3,2.253,67,709
1,cbbft,3,2.054,73,702
1,qbft,4,2.238,67,706
1,cbbft,4,2.027,74,709
1,qbft,5,2.238,67,706
1,cbbft,5,2.054,73,705
2,qbft,1,2.903,52,656
2,cbbft,1,2.157,70,707
2,qbft,2,2.796,54,701
2,cbbft,2,2.188,69,705
2,qbft,3,2.849,53,673
2,cbbft,3,2.157,70,711
2,qbft,4,2.960,51,693
2,cbbft,4,2.157,70,712
2,qbft,5,2.960,51,653
2,cbbft,5,2.173,69,705
3,qbft,1,3.511,43,666
3,cbbft,1,2.475,61,710
3,qbft,2,4.081,37,608
3,cbbft,2,2.745,55,704
3,qbft,3,4.314,35,598
3,cbbft,3,2.435,62,712
3,qbft,4,4.194,36,602
3,cbbft,4,2.475,61,709
3,qbft,5,3.846,39,628
3,cbbft,5,2.435,62,712
