faults,arm,rep,block_interval_s,blocks,transactions
0,qbft,1,2.076,78,712
0,cbbft,1,2.000,75,707
0,qbft,2,2.000,75,711
0,cbbft,2,2.054,73,706
0,qbft,3,2.126,71,657
0,cbbft,3,2.272,66,709
1,qbft,1,2.506,73,698
1,cbbft,1,2.068,73,708
1,qbft,2,2.323,65,706
1,cbbft,2,2.054,73,707
1,qbft,3,2.323,65,696
1,cbbft,3,2.097,72,711
1,qbft,4,2.253,67,709
1,cbbft,4,2.542,59,711
1,qbft,5,2.220,68,714
1,cbbft,5,2.027,74,710
2,qbft,1,2.631,57,713
2,cbbft,1,2.307,65,708
2,qbft,2,2.727,55,687
2,cbbft,2,2.142,70,712
2,qbft,3,2.631,57,709
2,cbbft,3,2.188,69,712
2,qbft,4,2.631,57,708
2,cbbft,4,2.307,65,709
2,qbft,5,2.631,57,710
2,cbbft,5,2.188,69,709
3,qbft,1,3.871,39,629
3,cbbft,1,2.475,61,710
3,qbft,2,3.431,44,682
3,cbbft,2,2.459,61,707
3,qbft,3,3.682,41,653
3,cbbft,3,2.459,61,714
3,qbft,4,3.658,41,662
3,cbbft,4,2.830,53,707
3,qbft,5,3.682,41,653
3,cbbft,5,2.475,61,709
